School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
17-18,Charter,592,Nashville Classical,8044,37206,,,82,74,71,72,66,,,,,,,,,1,3,256,29,,76,182,183,165,43,11,36.1799726463,-86.7460731124,"(36.1799726463, -86.7460731124)"
17-18,Elementary School,670,Rosebank Elementary,600,37206,3,37,53,48,39,44,36,,,,,,,,,1,7,172,26,,54,135,125,157,43,9,36.1839805189,-86.7177769703,"(36.1839805189, -86.7177769703)"
17-18,Middle School,805,Wright Middle,715,37211,,,,,,,,220,181,179,177,,,,,,43,137,429,,148,403,354,454,88,394,36.1001088774,-86.7341334228,"(36.1001088774, -86.7341334228)"
17-18,Elementary School,522,Ruby Major Elementary,607,37076,1,21,83,115,103,118,114,,,,,,,,,5,26,260,67,,197,299,256,222,83,69,36.1561669093,-86.5786577126,"(36.1561669093, -86.5786577126)"
17-18,Elementary School,618,Paragon Mills Elementary,540,37211,2,88,113,110,110,108,115,,,,,,,,,,77,156,292,,121,322,324,415,63,302,36.087419407,-86.7070560977,"(36.087419407, -86.7070560977)"
17-18,Middle School,470,Joelton Middle,385,37080,,,,,,,,89,89,85,94,,,,,1,,242,28,,86,195,162,258,70,16,36.3138460672,-86.8657762415,"(36.3138460672, -86.8657762415)"
17-18,Elementary School,765,Waverly-Belmont Elementary School,755,37204,13,2,103,108,103,81,80,,,,,,,,,1,16,238,30,,205,234,256,144,78,11,36.1264618728,-86.7866295627,"(36.1264618728, -86.7866295627)"
17-18,Elementary School,530,McGavock Elementary,465,37214,,21,50,54,47,41,57,,,,,,,,,2,9,77,92,,90,139,131,139,24,80,36.1605589982,-86.6810349428,"(36.1605589982, -86.6810349428)"
17-18,Elementary School,495,Tom Joy Elementary,635,37207,1,39,77,73,74,79,81,,,,,,,,,,2,258,93,1,70,222,202,321,76,61,36.2086474873,-86.7566230238,"(36.2086474873, -86.7566230238)"
17-18,High School,705,Stratford STEM Magnet School,620,37216,,,,,,,,116,94,95,91,187,169,174,180,5,21,829,77,,174,589,517,760,189,99,36.1975898577,-86.7180671344,"(36.1975898577, -86.7180671344)"
17-18,Special Education,585,Murrell School,505,37210,,,,2,8,10,11,10,11,8,4,,,,,,,57,2,,5,54,10,51,63,3,36.137548849,-86.7900214161,"(36.137548849, -86.7900214161)"
17-18,High School,550,Maplewood High,445,37216,,,,,,,,,,,,198,226,216,201,,9,608,158,,66,432,409,527,146,135,36.2327519801,-86.7503393689,"(36.2327519801, -86.7503393689)"
